

Sequential Pattern Mining:
[Trajectory]          [Support]


([Colosseo, Foro Romano, Musei Vaticani], 0.0321)
([Colosseo, Fontana di Trevi, Pantheon], 0.0321)
([Colosseo, Piazza di Spagna, Colosseo], 0.0321)
([Castel Sant'Angelo, San Pietro, Colosseo], 0.0321)
([Foro Romano, Pantheon, San Pietro], 0.0321)
([Foro Romano, Piazza Venezia, Colosseo], 0.0321)
([Piazza Navona, Pantheon, Piazza di Spagna], 0.0321)
([Piazza Navona, Colosseo, Foro Romano], 0.0321)
([Piazza Navona, Colosseo, Colosseo], 0.0321)
([Musei Vaticani, San Pietro, Pantheon], 0.0312)
([Musei Vaticani, San Pietro, Foro Romano], 0.0312)
([Colosseo, Colosseo, Piazza Navona], 0.0312)
([Colosseo, Piazza di Spagna, San Pietro], 0.0312)
([Piazza di Spagna, Colosseo, Foro Romano], 0.0312)
([Foro Romano, Pantheon, Fontana di Trevi], 0.0312)
([Foro Romano, Colosseo, Musei Vaticani], 0.0312)
([Piazza Navona, Piazza Venezia, Colosseo], 0.0312)
([Piazza di Spagna, Pantheon, Colosseo], 0.0304)
([Piazza di Spagna, Colosseo, Colosseo], 0.0304)
([Pantheon, San Pietro, Pantheon], 0.0304)
([Fontana di Trevi, Pantheon, Colosseo], 0.0304)
([Foro Romano, San Pietro, San Pietro], 0.0304)
([Foro Romano, Campidoglio, Foro Romano], 0.0304)
([Foro Romano, Colosseo, Foro Romano, San Pietro], 0.0304)
([Foro Romano, Musei Vaticani, San Pietro], 0.0304)
([Piazza Navona, Pantheon, San Pietro], 0.0304)
([Piazza Navona, Pantheon, Piazza Venezia], 0.0304)
([San Pietro, Colosseo, San Pietro, Colosseo], 0.0296)
([San Pietro, Colosseo, Piazza di Spagna], 0.0296)
([San Pietro, Colosseo, Castel Sant'Angelo], 0.0296)
([San Pietro, Castel Sant'Angelo, Fontana di Trevi], 0.0296)
([San Pietro, Pantheon, Piazza di Spagna], 0.0296)
([Colosseo, Foro Romano, Foro Romano, Colosseo], 0.0296)
([Piazza di Spagna, Fontana di Trevi, Pantheon], 0.0296)
([Pantheon, Musei Vaticani, San Pietro], 0.0296)
([Fontana di Trevi, Piazza Venezia, Colosseo], 0.0296)
([Castel Sant'Angelo, Piazza Navona, Pantheon], 0.0296)
([Foro Romano, San Pietro, Musei Vaticani], 0.0296)
([Foro Romano, Pantheon, Colosseo], 0.0296)
([Foro Romano, Colosseo, Piazza Venezia], 0.0296)
([Foro Romano, Colosseo, Colosseo, Colosseo], 0.0296)
([Foro Romano, Foro Romano, Fontana di Trevi], 0.0296)
([Piazza Navona, Pantheon, Foro Romano], 0.0296)
([Piazza Navona, Pantheon, Piazza Navona], 0.0296)
([San Pietro, Piazza Navona, Fontana di Trevi], 0.0287)
([San Pietro, Foro Romano, Colosseo, Foro Romano], 0.0287)
([Colosseo, Colosseo, Castel Sant'Angelo], 0.0287)
([Colosseo, Foro Romano, Castel Sant'Angelo], 0.0287)
([Pantheon, Fontana di Trevi, Piazza di Spagna], 0.0287)
([Pantheon, San Pietro, Foro Romano], 0.0287)
([Pantheon, Castel Sant'Angelo, San Pietro], 0.0287)
([Fontana di Trevi, San Pietro, San Pietro], 0.0287)
([Fontana di Trevi, Musei Vaticani, San Pietro], 0.0287)
([Foro Romano, Foro Romano, Pantheon], 0.0287)
([San Pietro, Musei Vaticani, Colosseo], 0.0279)
([San Pietro, San Pietro, Musei Vaticani], 0.0279)
([Colosseo, San Pietro, Castel Sant'Angelo], 0.0279)
([Colosseo, Piazza Navona, San Pietro], 0.0279)
([Fontana di Trevi, Foro Romano, Foro Romano], 0.0279)
([Castel Sant'Angelo, San Pietro, Castel Sant'Angelo], 0.0279)
([Castel Sant'Angelo, Foro Romano, Colosseo], 0.0279)
([Foro Romano, Fontana di Trevi, San Pietro], 0.0279)
([Foro Romano, Colosseo, Foro Romano, Foro Romano], 0.0279)
([Piazza Venezia, Colosseo, San Pietro], 0.0279)
([Piazza Navona, Fontana di Trevi, Colosseo], 0.0279)
([Piazza Navona, San Pietro, Colosseo], 0.0279)
([San Pietro, Musei Vaticani, Musei Vaticani], 0.027)
([San Pietro, Colosseo, Foro Romano, Colosseo], 0.027)
([San Pietro, Colosseo, Piazza Navona], 0.027)
([San Pietro, Fontana di Trevi, Piazza di Spagna], 0.027)
([San Pietro, Piazza Navona, Foro Romano], 0.027)
([Musei Vaticani, San Pietro, Fontana di Trevi], 0.027)
([Colosseo, Pantheon, Foro Romano], 0.027)
([Colosseo, Colosseo, Foro Romano, San Pietro], 0.027)
([Colosseo, Foro Romano, Colosseo, Foro Romano, Colosseo], 0.027)
([Colosseo, Foro Romano, Foro Romano, San Pietro], 0.027)
([Colosseo, Piazza Venezia, Pantheon], 0.027)
([Colosseo, Piazza Navona, Fontana di Trevi], 0.027)
([Pantheon, Pantheon, Colosseo], 0.027)
([Pantheon, San Pietro, Musei Vaticani], 0.027)
([Fontana di Trevi, Piazza di Spagna, Colosseo], 0.027)
([Castel Sant'Angelo, Colosseo, Colosseo], 0.027)
([Foro Romano, Colosseo, Piazza Navona], 0.027)
([Foro Romano, Foro Romano, Colosseo, Foro Romano], 0.027)
([Foro Romano, Foro Romano, Colosseo, Colosseo], 0.027)
([Piazza Venezia, Colosseo, Piazza Venezia], 0.027)
([Piazza Venezia, Foro Romano, Foro Romano], 0.027)
([San Pietro, San Pietro, Colosseo, Colosseo], 0.0262)
([San Pietro, San Pietro, Piazza Navona], 0.0262)
([San Pietro, Colosseo, Colosseo, San Pietro], 0.0262)
([San Pietro, Colosseo, Piazza Venezia], 0.0262)
([San Pietro, Castel Sant'Angelo, Piazza di Spagna], 0.0262)
([San Pietro, Piazza di Spagna, Colosseo], 0.0262)
([San Pietro, Foro Romano, Fontana di Trevi], 0.0262)
([Colosseo, Pantheon, Pantheon], 0.0262)
([Colosseo, Foro Romano, Colosseo, Fontana di Trevi], 0.0262)
([Colosseo, San Pietro, Foro Romano], 0.0262)
([Colosseo, San Pietro, Piazza di Spagna], 0.0262)
([Piazza di Spagna, Fontana di Trevi, San Pietro], 0.0262)
([Pantheon, Colosseo, Fontana di Trevi], 0.0262)
([Pantheon, Foro Romano, San Pietro], 0.0262)
([Pantheon, Piazza di Spagna, San Pietro], 0.0262)
([Pantheon, Piazza Navona, Castel Sant'Angelo], 0.0262)
([Fontana di Trevi, San Pietro, Foro Romano], 0.0262)
([Castel Sant'Angelo, Castel Sant'Angelo, San Pietro], 0.0262)
([Castel Sant'Angelo, Colosseo, San Pietro], 0.0262)
([Foro Romano, Campidoglio, Pantheon], 0.0262)
([Foro Romano, Colosseo, Colosseo, Foro Romano], 0.0262)
([San Pietro, Musei Vaticani, Pantheon], 0.0253)
([San Pietro, Castel Sant'Angelo, Piazza Venezia], 0.0253)
([San Pietro, Pantheon, Foro Romano], 0.0253)
([San Pietro, Piazza Navona, San Pietro], 0.0253)
([Musei Vaticani, Musei Vaticani, San Pietro], 0.0253)
([Musei Vaticani, Colosseo, Foro Romano], 0.0253)
([Colosseo, Piazza Venezia, Fontana di Trevi], 0.0253)
([Colosseo, Piazza Navona, Colosseo], 0.0253)
([Pantheon, Colosseo, Foro Romano, Colosseo], 0.0253)
([Pantheon, San Pietro, Piazza Navona], 0.0253)
([Fontana di Trevi, Pantheon, Piazza Navona], 0.0253)
([Fontana di Trevi, Colosseo, Pantheon], 0.0253)
([Castel Sant'Angelo, Pantheon, San Pietro], 0.0253)
([Foro Romano, Piazza Venezia, Pantheon], 0.0253)
([Foro Romano, Foro Romano, Campidoglio], 0.0253)
([Campidoglio, Foro Romano, Colosseo], 0.0253)
([Piazza Venezia, San Pietro, Colosseo], 0.0253)
([Piazza Navona, Fontana di Trevi, Foro Romano], 0.0253)
([Piazza Navona, Fontana di Trevi, Pantheon], 0.0253)
([San Pietro, Musei Vaticani, Fontana di Trevi], 0.0245)
([San Pietro, Musei Vaticani, Piazza Navona], 0.0245)
([San Pietro, Pantheon, Pantheon], 0.0245)
([San Pietro, Piazza Navona, Piazza di Spagna], 0.0245)
([Colosseo, Pantheon, Musei Vaticani], 0.0245)
([Colosseo, Colosseo, Colosseo, San Pietro], 0.0245)
([Colosseo, Piazza di Spagna, Pantheon], 0.0245)
([Piazza di Spagna, Colosseo, San Pietro], 0.0245)
([Piazza di Spagna, San Pietro, San Pietro], 0.0245)
([Pantheon, Colosseo, Pantheon], 0.0245)
([Fontana di Trevi, Foro Romano, San Pietro], 0.0245)
([Castel Sant'Angelo, Piazza Venezia, Colosseo], 0.0245)
([Foro Romano, Piazza di Spagna, Colosseo], 0.0245)
([Foro Romano, Pantheon, Foro Romano], 0.0245)
([Foro Romano, Colosseo, Foro Romano, Fontana di Trevi], 0.0245)
([Piazza Navona, Fontana di Trevi, Piazza di Spagna], 0.0245)
([Piazza Navona, Castel Sant'Angelo, San Pietro], 0.0245)
([San Pietro, San Pietro, Piazza di Spagna], 0.0236)
([San Pietro, Castel Sant'Angelo, Foro Romano], 0.0236)
([San Pietro, Pantheon, Piazza Navona], 0.0236)
([San Pietro, Foro Romano, Piazza di Spagna], 0.0236)
([Musei Vaticani, San Pietro, Castel Sant'Angelo], 0.0236)
([Musei Vaticani, Foro Romano, Colosseo], 0.0236)
([Colosseo, Colosseo, San Pietro, San Pietro], 0.0236)
([Colosseo, Colosseo, San Pietro, Colosseo], 0.0236)
([Colosseo, Colosseo, Musei Vaticani], 0.0236)
([Colosseo, Foro Romano, San Pietro, Colosseo], 0.0236)
([Colosseo, Fontana di Trevi, Foro Romano], 0.0236)
([Colosseo, Castel Sant'Angelo, Colosseo], 0.0236)
([Piazza di Spagna, Piazza Venezia, Colosseo], 0.0236)
([Pantheon, Fontana di Trevi, Foro Romano], 0.0236)
([Pantheon, Pantheon, San Pietro], 0.0236)
([Pantheon, Colosseo, Piazza di Spagna], 0.0236)
([Pantheon, Piazza Navona, Piazza Venezia], 0.0236)
([Fontana di Trevi, Colosseo, Foro Romano, Colosseo], 0.0236)
([Fontana di Trevi, Fontana di Trevi, Colosseo], 0.0236)
([Castel Sant'Angelo, Colosseo, Foro Romano], 0.0236)
([Castel Sant'Angelo, Pantheon, Colosseo], 0.0236)
([Castel Sant'Angelo, Piazza Navona, Fontana di Trevi], 0.0236)
([Foro Romano, San Pietro, Foro Romano], 0.0236)
([Foro Romano, Foro Romano, Foro Romano, Colosseo], 0.0236)
([Piazza Venezia, Colosseo, Fontana di Trevi], 0.0236)
([Piazza Venezia, Colosseo, Foro Romano, Colosseo], 0.0236)
([Piazza Navona, Pantheon, Pantheon], 0.0236)
([Piazza Navona, Colosseo, Pantheon], 0.0236)
([Piazza Navona, Foro Romano, Foro Romano], 0.0236)
([Piazza Navona, San Pietro, San Pietro], 0.0236)
([San Pietro, Castel Sant'Angelo, Castel Sant'Angelo], 0.0228)
([Musei Vaticani, San Pietro, Piazza Navona], 0.0228)
([Colosseo, Colosseo, Colosseo, Foro Romano], 0.0228)
([Colosseo, Foro Romano, Pantheon, Fontana di Trevi], 0.0228)
([Colosseo, San Pietro, Colosseo, San Pietro], 0.0228)
([Colosseo, San Pietro, Piazza Navona], 0.0228)
([Colosseo, Piazza Navona, Piazza di Spagna], 0.0228)
([Piazza di Spagna, Pantheon, San Pietro], 0.0228)
([Piazza di Spagna, Piazza Navona, Pantheon], 0.0228)
([Pantheon, Piazza Navona, Foro Romano], 0.0228)
([Pantheon, Piazza Navona, Piazza di Spagna], 0.0228)
([Pantheon, Piazza Navona, Piazza Navona], 0.0228)
([Fontana di Trevi, San Pietro, Musei Vaticani], 0.0228)
([Fontana di Trevi, San Pietro, Castel Sant'Angelo], 0.0228)
([Foro Romano, Piazza Navona, Pantheon], 0.0228)
([Foro Romano, Pantheon, Piazza Navona], 0.0228)
([Foro Romano, Piazza Venezia, Fontana di Trevi], 0.0228)
([Foro Romano, Colosseo, Colosseo, San Pietro], 0.0228)
([Foro Romano, Colosseo, Foro Romano, Colosseo, Foro Romano], 0.0228)
([Foro Romano, Colosseo, Foro Romano, Colosseo, Colosseo], 0.0228)
([Foro Romano, Foro Romano, Piazza Navona], 0.0228)
([Piazza Venezia, Colosseo, Piazza di Spagna], 0.0228)
([Piazza Navona, Colosseo, San Pietro], 0.0228)
([San Pietro, San Pietro, Colosseo, San Pietro], 0.022)
([San Pietro, Colosseo, Foro Romano, Pantheon], 0.022)
([San Pietro, Fontana di Trevi, Fontana di Trevi], 0.022)
([San Pietro, Piazza di Spagna, Pantheon], 0.022)
([San Pietro, Pantheon, Piazza Venezia], 0.022)
([San Pietro, Piazza Navona, Castel Sant'Angelo], 0.022)
([San Pietro, Piazza Venezia, San Pietro], 0.022)
([Musei Vaticani, San Pietro, Musei Vaticani, San Pietro], 0.022)
([Musei Vaticani, San Pietro, Piazza di Spagna], 0.022)
([Colosseo, Colosseo, Colosseo, Colosseo], 0.022)
([Colosseo, Foro Romano, Fontana di Trevi, San Pietro], 0.022)
([Colosseo, Campidoglio, Pantheon], 0.022)
([Colosseo, Piazza Venezia, Piazza Navona], 0.022)
([Colosseo, Piazza Navona, Musei Vaticani], 0.022)
([Piazza di Spagna, Fontana di Trevi, Foro Romano], 0.022)
([Pantheon, Foro Romano, Pantheon], 0.022)
([Pantheon, San Pietro, Piazza di Spagna], 0.022)
([Pantheon, San Pietro, Fontana di Trevi], 0.022)
([Pantheon, Piazza Navona, Fontana di Trevi], 0.022)
([Fontana di Trevi, Fontana di Trevi, San Pietro], 0.022)
([Castel Sant'Angelo, San Pietro, Pantheon], 0.022)
([Castel Sant'Angelo, Piazza Navona, Colosseo], 0.022)
([Foro Romano, Fontana di Trevi, Piazza di Spagna], 0.022)
